zip,metro,0br,1br,2br,3br,4br
75001,"Dallas, TX HUD Metro FMR Area",1400,1540,1840,2380,3140
75002,"Dallas, TX HUD Metro FMR Area",1330,1470,1750,2260,2990
75006,"Dallas, TX HUD Metro FMR Area",1070,1180,1410,1820,2410
75007,"Dallas, TX HUD Metro FMR Area",1110,1220,1460,1890,2490
75009,"Dallas, TX HUD Metro FMR Area",1260,1390,1660,2140,2840
75010,"Dallas, TX HUD Metro FMR Area",1230,1350,1610,2080,2750
75011,"Dallas, TX HUD Metro FMR Area",1020,1120,1340,1720,2280
75013,"Dallas, TX HUD Metro FMR Area",1350,1490,1780,2300,3040
75014,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75015,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75016,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75017,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75019,"Dallas, TX HUD Metro FMR Area",1260,1390,1660,2140,2840
75022,"Dallas, TX HUD Metro FMR Area",1540,1700,2030,2620,3470
75023,"Dallas, TX HUD Metro FMR Area",1230,1350,1610,2080,2750
75024,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75025,"Dallas, TX HUD Metro FMR Area",1360,1500,1790,2310,3060
75026,"Dallas, TX HUD Metro FMR Area",1200,1330,1580,2040,2700
75027,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
75028,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75029,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
75030,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75032,"Dallas, TX HUD Metro FMR Area",1270,1400,1670,2160,2850
75033,"Dallas, TX HUD Metro FMR Area",1120,1230,1470,1890,2500
75034,"Dallas, TX HUD Metro FMR Area",1350,1480,1770,2290,3020
75035,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75036,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
75038,"Dallas, TX HUD Metro FMR Area",1100,1210,1440,1860,2460
75039,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75040,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75041,"Dallas, TX HUD Metro FMR Area",910,1010,1200,1550,2050
75042,"Dallas, TX HUD Metro FMR Area",850,940,1120,1450,1910
75043,"Dallas, TX HUD Metro FMR Area",1060,1170,1390,1790,2370
75044,"Dallas, TX HUD Metro FMR Area",1160,1270,1520,1960,2600
75045,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75046,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75047,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75048,"Dallas, TX HUD Metro FMR Area",1290,1420,1690,2180,2890
75049,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75050,"Dallas, TX HUD Metro FMR Area",990,1090,1310,1700,2220
75051,"Dallas, TX HUD Metro FMR Area",860,950,1140,1480,1940
75052,"Dallas, TX HUD Metro FMR Area",1120,1250,1500,1960,2550
75053,"Dallas, TX HUD Metro FMR Area",950,1060,1270,1660,2150
75054,"Dallas, TX HUD Metro FMR Area",1350,1530,1860,2490,3110
75056,"Dallas, TX HUD Metro FMR Area",1290,1420,1690,2180,2890
75057,"Dallas, TX HUD Metro FMR Area",1140,1260,1500,1940,2560
75058,"Dallas, TX HUD Metro FMR Area",810,970,1170,1580,1780
75060,"Dallas, TX HUD Metro FMR Area",900,990,1180,1520,2020
75061,"Dallas, TX HUD Metro FMR Area",940,1040,1240,1600,2120
75062,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75063,"Dallas, TX HUD Metro FMR Area",1340,1480,1760,2270,3010
75065,"Dallas, TX HUD Metro FMR Area",1130,1250,1490,1920,2550
75067,"Dallas, TX HUD Metro FMR Area",1150,1270,1510,1950,2580
75068,"Dallas, TX HUD Metro FMR Area",1530,1690,2010,2600,3430
75069,"Dallas, TX HUD Metro FMR Area",1070,1170,1400,1810,2390
75070,"Dallas, TX HUD Metro FMR Area",1320,1460,1740,2250,2970
75071,"Dallas, TX HUD Metro FMR Area",1360,1500,1790,2310,3060
75072,"Dallas, TX HUD Metro FMR Area",1200,1330,1580,2040,2700
75074,"Dallas, TX HUD Metro FMR Area",1150,1270,1510,1950,2580
75075,"Dallas, TX HUD Metro FMR Area",1130,1240,1480,1910,2530
75077,"Dallas, TX HUD Metro FMR Area",1320,1450,1730,2230,2960
75078,"Dallas, TX HUD Metro FMR Area",1320,1460,1740,2250,2970
